,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://www.galleryart-mos.com,izozavart@gmail.com,+7 917 536 70 02,,https://www.instagram.com/izozavart/,https://www.facebook.com/palitrayasenevo/,,,Купить картину в Москве | Галерея художников Москвы,,,
0,http://art-matita.ru/blog/,art-matita@mail.ru,+7 (925) 488-82-47,,,,https://art-matita.ru/blog/wp-content/uploads/2015/09/7zzlpdAc0ek-1-1024x358.jpg,,Школа рисования и живописи в Москве: студия Art Matita,,,
0,http://domizo.ru/shkola-zhivopisi-dlya-vzroslih,nitaso@mail.ru,+7 (915) 255-43-78,,https://www.instagram.com/domizo.ru/,,https://domizo.ru/wp-content/uploads/2018/05/image_resized-2-3.jpg,https://domizo.ru/schedule,Обучение рисованию и живописи для взрослых,,,
0,https://www.perottischool.ru/,info@perottischool.ru,8(495)920-12-80,https://vk.com/perottiartschool,https://www.instagram.com/perottiartschool/,https://www.facebook.com/schoolperotti/,https://www.perottischool.ru/wp-content/uploads/2020/02/albergo-gardesana.jpg https://sun9-10.userapi.com/c626728/v626728217/2a085/hBNsKp-l4x4.jpg?ava=1,,— курсы рисования и живописи в Москве,,Расковой ул. 16,
0,https://izokurs.ru/,123@izokurs.ru,+7(499) 551-56-15,https://vk.com/izokurs,https://www.instagram.com/izokurs/,https://www.facebook.com/izokurs/,https://izokurs.ru/assets/tpl/images/maintop/slider-1-2.jpg?v=232100 https://sun9-44.userapi.com/c837522/v837522516/5e849/UCrgfLZ1UJ0.jpg?ava=1,,Школа Рисования для Взрослых | Рисунок и Живопись (Москва),,"Большая Татарская улица, 35, стр. 7-9",Новокузнецкая
0,https://www.art-creativity.ru/,,,,,,,,,,,
0,https://afabrica.ru/index.php?id=2,,,,,,,,,,,
0,https://afabrica.ru/index.php?id=3,,,,,,,,,,,
0,https://afabrica.ru/index.php?id=4,,,,,,,,,,,
0,http://virtuozy-msk.ru/,msk.muz@gmail.com,8 (495) 120-17-14,https://vk.com/virtuozy_msk,https://www.instagram.com/virtuozy_msk/,http://www.facebook.com/musical.education, https://sun1-84.userapi.com/c206624/v206624732/74558/I67trulEL7Y.jpg?ava=1,,Музыкальная школа для взрослых и детей «Виртуозы»,,Зубовский бульвар 25 А,Парк культуры (линия 5)
0,http://iocanto.ru/,iocanto16@yandex.ru,8-977-651-44-10,,https://www.instagram.com/iocanto16/,,http://iocanto.ru/image/cache/catalog/otz/IMG_0421-400x400.jpg,,IOCanto - вокальная студия Анастасии Химичевой,,,
0,http://guitaru.ru/,gitclub@yandex.ru,8(499)391-56-76,https://vk.com/music_school_db,https://www.instagram.com/music.school.db/,https://www.facebook.com/groups/gitarclub/, https://sun1-21.userapi.com/c850620/v850620743/12458a/OV5OXmmnDbM.jpg?ava=1,,Уроки гитары для начинающих с нуля взрослых и детей с 5 лет м. Белорусская / Речной вокзал / Чертановская / Бульвар Дмитрия Донского / ул. Скобелевская,,"Лесная улица, 43",Белорусская (линия 5)
0,http://muzykalnaya-shkola.ru/pervaya-statya.html,,,,,,,,,,,
0,https://mezzo.pro/,mezzomsc@gmail.com,,https://vk.com/mezzovocal,https://www.instagram.com/mezzo.pro/,https://www.facebook.com/mezzo.pro/, https://sun9-3.userapi.com/c626519/v626519822/52878/-t5njC6DweQ.jpg?ava=1,,,,"Новослободская, 36/1, с.1",Менделеевская
0,https://www.galladance.com/,,+7 (342) 236 40 30,http://vk.com/club20195808,https://www.instagram.com/galladance/,http://www.facebook.com/pages/%D0%A2%D0%B0%D0%BD%D1%86%D0%B5%D0%B2%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BA%D0%BB%D1%83%D0%B1%D1%8B-GallaDance/152330564788203?ref=ts&amp;fref=ts,https://www.galladance.com/upload/iblock/17d/17dc51c2c195270c4ef170fedeeb91b6.png https://sun1-22.userapi.com/tSak8JW-XIlIp-rLHKEGiYYn6g5CZe5Z9T39mg/_KB0EtplAks.jpg?ava=1,https://www.galladance.com/events/calendar/,Школа танцев в Москве | Студия танцев - Танцевальные клубы,,"Краснопресненская набережная, 12",Улица 1905 года
0,http://www.mariasdance.ru/,maria@mariasdance.ru,+7 (495) 204 30 40,https://vk.com/club671681,,https://facebook.com/MariaSingalSchool,http://www.mariasdance.ru/wysiwyg/tiny_mce/plugins/imagemanager/images/AtmosferaBanner.png https://sun9-53.userapi.com/c9591/g671681/b_1c63096e.jpg?ava=1,http://www.mariasdance.ru/Schedule,Московская школа ирландского танца Марии Сингал,,,
